ensp,gene
ENSP00000000412,M6PR
ENSP00000002501,DBNDD1
ENSP00000005260,BAIAP2L1
ENSP00000005386,RPAP3
ENSP00000011619,RANBP9
ENSP00000013125,MAP4K5
ENSP00000014112,PTBP1
ENSP00000014914,GPRC5A
ENSP00000025301,AKAP11
ENSP00000040738,BOD1L1
ENSP00000042381,RIPOR1
ENSP00000054666,VAMP3
ENSP00000055163,ARID1B
ENSP00000075430,CTDP1
ENSP00000085079,EPN1
ENSP00000157600,LMCD1
ENSP00000157812,PSMC4
ENSP00000161863,YTHDC2
ENSP00000163678,METTL22
ENSP00000164139,PYGM
ENSP00000170564,GPATCH1
ENSP00000176763,STK10
ENSP00000186436,TMEM131
ENSP00000193322,OSTM1
ENSP00000193403,ACTN1
ENSP00000200457,TRIP6
ENSP00000201031,TFAP2C
ENSP00000201979,REM1
ENSP00000203407,UQCRC1
ENSP00000203556,GMIP
ENSP00000204517,TFAP4
ENSP00000205135,PLEKHG2
ENSP00000205948,APOH
ENSP00000207457,TEKT2
ENSP00000209873,AAAS
ENSP00000212015,SIRT1
ENSP00000215115,BCL7C
ENSP00000215793,SF3A1
ENSP00000215957,MICALL1
ENSP00000216044,GTPBP1
ENSP00000216106,HMGXB4
ENSP00000216117,HMOX1
ENSP00000216129,TTLL12
ENSP00000216160,TAB1
ENSP00000216181,MYH9
ENSP00000216194,ADSL
ENSP00000216218,ST13
ENSP00000216281,HSP90AA1
ENSP00000216297,SUPT16H
ENSP00000216879,NSFL1C
ENSP00000217289,FERMT1
ENSP00000217381,SNTA1
ENSP00000217971,PGRMC1
ENSP00000219252,POLR2C
ENSP00000219473,USP10
ENSP00000219548,STUB1
ENSP00000219611,CAPN15
ENSP00000219837,KNOP1
ENSP00000220325,EHD4
ENSP00000220496,DNAJC17
ENSP00000220597,PAG1
ENSP00000220822,GDAP1
ENSP00000220849,EIF3E
ENSP00000220888,TRPS1
ENSP00000220913,CHRAC1
ENSP00000220959,UBR5
ENSP00000221086,MTMR9
ENSP00000221132,TNFRSF10A
ENSP00000221419,HNRNPL
ENSP00000221566,SGTA
ENSP00000221801,FBL
ENSP00000221856,FSD1
ENSP00000221922,CCDC9
ENSP00000222005,CDC37
ENSP00000222247,RPL18A
ENSP00000222329,ERF
ENSP00000222345,SIPA1L3
ENSP00000222374,CADM4
ENSP00000222567,POLR1F
ENSP00000222584,SP4
ENSP00000222968,PDAP1
ENSP00000223023,WASL
ENSP00000223073,RBM28
ENSP00000223136,FIS1
ENSP00000223145,GLCCI1
ENSP00000223193,EZH2
ENSP00000223641,SEC61B
ENSP00000223951,ELAVL2
ENSP00000225171,DNAJC12
ENSP00000225298,UTP18
ENSP00000225388,NUFIP2
ENSP00000225394,GIT1
ENSP00000225655,PFN1
ENSP00000225719,CPD
ENSP00000225737,AKAP10
ENSP00000227471,UNC93B1
ENSP00000227503,SF1
ENSP00000227520,CCDC86
ENSP00000228251,YBX3
ENSP00000228284,SART3
ENSP00000228307,PXN
ENSP00000228495,KCTD10
ENSP00000229179,NUP107
ENSP00000229201,TIMELESS
ENSP00000229214,KRR1
ENSP00000229379,COX6A1
ENSP00000229390,SRSF9
ENSP00000229418,NFYA
