Raw file	Experiment	Fraction	Enzyme	Enzyme mode	Enzyme first search	Enzyme mode first search	Use enzyme first search	Variable modifications	Variable modifications first search	Use variable modifications first search	Multiplicity	Max. missed cleavages	Max. labeled AAs	Labels0	Labels1	Labels2	LC-MS run type	Time-dependent recalibration	MS	MS/MS	MS/MS Submitted	MS/MS Submitted (SIL)	MS/MS Submitted (ISO)	MS/MS Submitted (PEAK)	MS/MS Identified	MS/MS Identified (SIL)	MS/MS Identified (ISO)	MS/MS Identified (PEAK)	MS/MS Identified [%]	MS/MS Identified (SIL) [%]	MS/MS Identified (ISO) [%]	MS/MS Identified (PEAK) [%]	Peptide Sequences Identified	Peaks	Peaks Sequenced	Peaks Sequenced [%]	Peaks Repeatedly Sequenced	Peaks Repeatedly Sequenced [%]	Isotope Patterns	Isotope Patterns Sequenced	Isotope Patterns Sequenced (z>1)	Isotope Patterns Sequenced [%]	Isotope Patterns Sequenced (z>1) [%]	Isotope Patterns Repeatedly Sequenced	Isotope Patterns Repeatedly Sequenced [%]	Multiplets	Multiplets z=1	Multiplets z=2	Multiplets z=3	Multiplets z=4	Multiplets z=5	Multiplets z=6	Multiplets z=7	Multiplets Sequenced	Multiplets Sequenced [%]	Multiplets Repeatedly Sequenced	Multiplets Repeatedly Sequenced [%]	Multiplets Identified	Multiplets Identified [%]	Recalibrated	Av. Absolute Mass Deviation [ppm]	Mass Standard Deviation [ppm]	Av. Absolute Mass Deviation [mDa]	Mass Standard Deviation [mDa]	Label free norm param
2013114_CCS_ERKi_30min_P01	ERK1	1	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)		False	3	2	3		Arg6;Lys4	Arg10;Lys8	Standard		14084	106853	126365	47436	39905	39024	57056	35449	18650	2957	45.15	74.73	46.74	7.58	26623	2461069	101356	4.12	1551	1.53	326967	82979	80181	25.38	28.27	3858	4.65	32547	2656	13761	12298	3224	556	49	3	22969	70.57	15477	67.38	17157	74.7	+	0.46747	0.64349	0.30927	0.46171	
2013114_CCS_ERKi_30min_P02	ERK1	2	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)		False	3	2	3		Arg6;Lys4	Arg10;Lys8	Standard		23212	68195	92390	16623	27377	48390	2817	2101	676	40	3.05	12.64	2.47	0.08	1253	2106823	60085	2.85	1748	2.91	144735	39923	35600	27.58	36.11	3332	8.35	10404	2215	5384	2469	290	36	10	0	7719	74.19	5402	69.98	1025	13.28	+	0.82343	1.0139	0.61964	0.82355	
2013114_CCS_ERKi_30min_P03	ERK1	3	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)		False	3	2	3		Arg6;Lys4	Arg10;Lys8	Standard		28872	46162	67760	9833	14731	43196	1000	839	157	4	1.48	8.53	1.07	0.01	538	1868071	39275	2.1	1123	2.86	70006	21116	19350	30.16	42.92	2967	14.05	4279	333	1254	2296	381	14	0	1	3846	89.88	3213	83.54	507	13.18	+	0.79388	0.96191	0.65028	0.80311	
2013114_CCS_ERKi_30min_P04	ERK1	4	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)		False	3	2	3		Arg6;Lys4	Arg10;Lys8	Standard		16613	96541	112911	46915	33256	32740	45716	30033	13494	2189	40.49	64.02	40.58	6.69	22889	1991402	90809	4.56	1958	2.16	265688	75413	72552	28.38	34.55	4126	5.47	31684	5097	20049	5833	662	38	4	1	22301	70.39	15435	69.21	14471	64.89	+	0.51125	0.70389	0.34012	0.489	
2013114_CCS_ERKi_30min_P05	ERK1	5	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)		False	3	2	3		Arg6;Lys4	Arg10;Lys8	Standard		16023	98281	118585	43910	34067	40608	41304	27901	11852	1551	34.83	63.54	34.79	3.82	18207	2197085	91154	4.15	1999	2.19	267824	72259	69308	26.98	30.8	4958	6.86	27054	2290	9164	14206	1257	132	5	0	20049	74.11	14001	69.83	12699	63.34	+	0.48172	0.65421	0.31009	0.44599	
2013114_CCS_ERKi_30min_P06	ERK1	6	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)		False	3	2	3		Arg6;Lys4	Arg10;Lys8	Standard		36329	18460	30088	2431	4399	23258	213	160	52	1	0.71	6.58	1.18	0	102	1732015	15245	0.88	557	3.65	45784	5603	5211	12.24	17.25	821	14.65	1117	0	182	826	108	1	0	0	916	82.01	697	76.09	90	9.83	+	0.40823	0.48397	0.29974	0.36651	
2013114_CCS_MEKi_30min_P01	MEK1	1	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)		False	3	2	3		Arg6;Lys4	Arg10;Lys8	Standard		14056	106691	126408	47762	39212	39434	55907	35253	17885	2769	44.23	73.81	45.61	7.02	25920	2523072	100987	4	1839	1.82	332192	82266	79222	24.76	27.86	4141	5.03	33273	3529	14138	12110	2943	499	45	9	22929	68.91	15521	67.69	16816	73.34	+	0.47072	0.6512	0.30968	0.46421	
2013114_CCS_MEKi_30min_P02	MEK1	2	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)		False	3	2	3		Arg6;Lys4	Arg10;Lys8	Standard		22779	69644	94239	17063	27986	49190	2978	2232	673	73	3.16	13.08	2.4	0.15	1345	2221735	61010	2.75	1882	3.08	155774	40513	35880	26.01	34.98	3659	9.03	11216	2761	5723	2397	281	47	6	1	7958	70.95	5457	68.57	1078	13.55	+	0.7944	0.9761	0.59085	0.78046	
2013114_CCS_MEKi_30min_P03	MEK1	3	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)		False	3	2	3		Arg6;Lys4	Arg10;Lys8	Standard		27135	52876	74964	13165	17621	44178	1746	1436	299	11	2.33	10.91	1.7	0.02	922	2271962	45215	1.99	1218	2.69	94721	26737	25004	28.23	41.7	3423	12.8	5764	195	2118	3009	430	12	0	0	5240	90.91	4337	82.77	864	16.49	+	0.77521	0.94476	0.63413	0.80077	
2013114_CCS_MEKi_30min_P04	MEK1	4	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)		False	3	2	3		Arg6;Lys4	Arg10;Lys8	Standard		16550	96578	113772	46585	32799	34388	45106	29751	13069	2286	39.65	63.86	39.85	6.65	22592	2168933	90335	4.16	2167	2.4	269740	74258	71340	27.53	34.95	4410	5.94	31842	5773	20461	5088	495	24	1	0	22020	69.15	15270	69.35	14207	64.52	+	0.50922	0.70325	0.3369	0.49038	
