,kinase,ksea_z_30min,late_rna_log2fc
0,PTPN7,-9.197508567594705,-0.7119195361695194
1,KSR1,-9.098824857970865,0.6386790950538211
2,DUSP16,-9.095406203882746,0.15737576500863293
3,MAP3K14,-8.98627250885427,0.6760835647893935
4,DUSP1,-8.251475329868777,0.17264933528310067
5,DUSP8,-8.251475329868777,1.7616790494508323
6,IL2,-8.131997996167069,0.0
7,MAP3K8,-8.114874569627007,0.2557992065803838
8,FGF2,-7.980735170613737,-0.2499389856023655
9,PRKCQ,-7.739878095600399,0.04452400928555203
10,BRAF,-6.639909641134616,0.004465190586308676
11,RHOA,-6.606506571812488,0.11025481471416576
13,RAF1,-6.513334955326581,0.1554379535304875
12,MAP2K1,-6.472214549475461,-0.21771645095353698
14,HGF,-5.622826519016592,0.10549979435157802
16,HRAS,-4.852289151493299,-0.30935214986556936
15,EGF,-4.32631869345117,-0.0035815776099121788
17,MAP2K3,-4.077521342802018,-0.5761257046486596
21,MAPK1,-3.6944932187974175,0.01780664396395437
19,TNF,-3.677754636481457,0.068689474333769
22,DYRK1B,-3.615088010306776,0.6297428794695294
23,PRKCB,-3.5832693443983894,0.0035665672801163924
24,MAPK3,-3.443731953980467,-0.09081559929941818
28,MAPK7,-2.838509444121172,0.20790506971285305
20,INS,-2.6859480215538625,0.0
34,MAPK14,-2.325229494788485,0.02491474845779873
18,AURKA,-2.296318751144557,-1.4189934505357549
35,MAPK15,-2.2509759132108256,0.05464090117475858
36,PPP2CA,-2.1443068723558136,-0.055237352273184825
38,PRKCA,-1.580459910274376,1.4707219740675002
30,AKT1,-1.5181694400136911,-0.005774771884939689
39,AKT3,-1.3660171433876205,-0.3074492966367055
33,NLK,-1.299075881146161,-0.1243750403219992
27,AURKB,0.9214876765720716,-1.5580542760026361
25,PRKCI,1.1482258822539215,-0.3741370181760204
37,CSNK2A1,2.1651433200812518,-0.664935061072164
32,PRKCD,2.6305642793501054,-0.3556231395106284
31,LATS1,2.647272953803921,-0.21799947040736356
29,PRKCE,2.833355352473605,0.2315343805747987
26,PRKCG,2.9553242929310817,0.04505595931102933
