,gene,direction
0,ACO2,DOWN_resistance
1,ACVR2B,DOWN_resistance
2,ADCY1,DOWN_resistance
3,ADRBK2,DOWN_resistance
4,AFG3L2,DOWN_resistance
5,AIFM1,DOWN_resistance
6,ALDH1A1,DOWN_resistance
7,ALDH5A1,DOWN_resistance
8,ANO4,DOWN_resistance
9,ANXA3,DOWN_resistance
10,ANXA5,DOWN_resistance
11,APC,DOWN_resistance
12,APOOL,DOWN_resistance
13,ARHGAP19-SLIT1,DOWN_resistance
14,ARHGAP42,DOWN_resistance
15,ARID3B,DOWN_resistance
16,ARL10,DOWN_resistance
17,ARV1,DOWN_resistance
18,ASB9,DOWN_resistance
19,ATP6V1C1,DOWN_resistance
20,ATP7B,DOWN_resistance
21,ATPBD4,DOWN_resistance
22,B4GALT3,DOWN_resistance
23,BAG6,DOWN_resistance
24,BAHCC1,DOWN_resistance
25,BCL2A1,DOWN_resistance
26,BFAR,DOWN_resistance
27,BMP10,DOWN_resistance
28,BMX,DOWN_resistance
29,C10orf137,DOWN_resistance
30,C12orf49,DOWN_resistance
31,C12orf66,DOWN_resistance
32,C2orf88,DOWN_resistance
33,C3orf14,DOWN_resistance
34,CABLES1,DOWN_resistance
35,CCL17,DOWN_resistance
36,CD80,DOWN_resistance
37,CEP57,DOWN_resistance
38,CGGBP1,DOWN_resistance
39,CHERP,DOWN_resistance
40,CHN2,DOWN_resistance
41,CHST10,DOWN_resistance
42,CLP1,DOWN_resistance
43,CMTM8,DOWN_resistance
44,CNDP1,DOWN_resistance
45,COL25A1,DOWN_resistance
46,COQ7,DOWN_resistance
47,COX10,DOWN_resistance
48,CPSF1,DOWN_resistance
49,CPVL,DOWN_resistance
50,CREB3L4,DOWN_resistance
51,CS,DOWN_resistance
52,CST1,DOWN_resistance
53,CTR9,DOWN_resistance
54,CTTNBP2,DOWN_resistance
55,CXorf65,DOWN_resistance
56,CYBASC3,DOWN_resistance
57,DCC,DOWN_resistance
58,DDB2,DOWN_resistance
59,DGKH,DOWN_resistance
60,DGKI,DOWN_resistance
61,DHX35,DOWN_resistance
62,DIRC2,DOWN_resistance
63,DNAJA4,DOWN_resistance
64,DOCK10,DOWN_resistance
65,DOCK7,DOWN_resistance
66,DVL2,DOWN_resistance
67,E2F3,DOWN_resistance
68,EFR3B,DOWN_resistance
69,EPB41,DOWN_resistance
70,EPCAM,DOWN_resistance
71,ERLIN2,DOWN_resistance
72,ETFA,DOWN_resistance
73,FAM108B1,DOWN_resistance
74,FAM168B,DOWN_resistance
75,FAM222B,DOWN_resistance
76,FAM24B-CUZD1,DOWN_resistance
77,FAT2,DOWN_resistance
78,FBXO41,DOWN_resistance
79,FBXO7,DOWN_resistance
80,FCHSD2,DOWN_resistance
81,FDFT1,DOWN_resistance
82,FLJ46066,DOWN_resistance
83,FMN1,DOWN_resistance
84,FMNL2,DOWN_resistance
85,FRMD4B,DOWN_resistance
86,FSTL5,DOWN_resistance
87,GAB2,DOWN_resistance
88,GALNT3,DOWN_resistance
89,GAPDHS,DOWN_resistance
90,GATAD2B,DOWN_resistance
91,GCNT2,DOWN_resistance
92,GGA2,DOWN_resistance
93,GNAQ,DOWN_resistance
94,GNPDA1,DOWN_resistance
95,GNPTAB,DOWN_resistance
96,GPC4,DOWN_resistance
97,GPRC5B,DOWN_resistance
98,GYG2,DOWN_resistance
99,HCG4,DOWN_resistance
100,HPS4,DOWN_resistance
101,HPS5,DOWN_resistance
102,HSPA12B,DOWN_resistance
103,HUS1,DOWN_resistance
104,IL12RB2,DOWN_resistance
105,INIP,DOWN_resistance
106,INTS4,DOWN_resistance
107,INTS7,DOWN_resistance
108,IREB2,DOWN_resistance
109,IRF4,DOWN_resistance
110,IVNS1ABP,DOWN_resistance
111,KBTBD11,DOWN_resistance
112,KDM2B,DOWN_resistance
113,KLF15,DOWN_resistance
114,KLHL35,DOWN_resistance
115,LAPTM4B,DOWN_resistance
116,LDLRAD3,DOWN_resistance
117,LHX2,DOWN_resistance
118,LOC100505727,DOWN_resistance
119,LOC257358,DOWN_resistance
120,LOC283214,DOWN_resistance
121,LOC407835,DOWN_resistance
122,LZTS1,DOWN_resistance
123,M6PR,DOWN_resistance
124,MAGIX,DOWN_resistance
125,MARS2,DOWN_resistance
126,MCCD1,DOWN_resistance
127,MESDC1,DOWN_resistance
128,MGAT5,DOWN_resistance
129,MITF,DOWN_resistance
130,MLL4,DOWN_resistance
131,MMACHC,DOWN_resistance
132,MORC3,DOWN_resistance
133,MPC1,DOWN_resistance
134,MPPED2,DOWN_resistance
135,MRPL30,DOWN_resistance
