,gene,direction
0,ABCA17P,UP_resistance
1,ABCC3,UP_resistance
2,ABI3BP,UP_resistance
3,ACSL5,UP_resistance
4,ACSM4,UP_resistance
5,ACTA1,UP_resistance
6,ADAMTS14,UP_resistance
7,ADAMTS2,UP_resistance
8,ADARB2,UP_resistance
9,AFP,UP_resistance
10,AGTR1,UP_resistance
11,AHSP,UP_resistance
12,AIG1,UP_resistance
13,AK5,UP_resistance
14,AKR1B10,UP_resistance
15,AKR1C3,UP_resistance
16,ALDH1L2,UP_resistance
17,ALOX12B,UP_resistance
18,ALOX5AP,UP_resistance
19,ALPK2,UP_resistance
20,AMPD2,UP_resistance
21,AMPD3,UP_resistance
22,AMZ1,UP_resistance
23,ANGPT4,UP_resistance
24,ANGPTL5,UP_resistance
25,ANK1,UP_resistance
26,ANK3,UP_resistance
27,ANKRD26P1,UP_resistance
28,ANO2,UP_resistance
29,AOX1,UP_resistance
30,AP4S1,UP_resistance
31,APCDD1L,UP_resistance
32,APCDD1L-AS1,UP_resistance
33,APOBEC3D,UP_resistance
34,APOBR,UP_resistance
35,APOL1,UP_resistance
36,APOL3,UP_resistance
37,AQP4,UP_resistance
38,AQP5,UP_resistance
39,ARAP3,UP_resistance
40,ARL14,UP_resistance
41,ARRDC2,UP_resistance
42,ASIC3,UP_resistance
43,ATG12,UP_resistance
44,ATP8B4,UP_resistance
45,AXL,UP_resistance
46,B3GNT4,UP_resistance
47,B9D2,UP_resistance
48,BASP1,UP_resistance
49,BCL11A,UP_resistance
50,BDNF-AS,UP_resistance
51,BEND4,UP_resistance
52,BEND7,UP_resistance
53,BEST3,UP_resistance
54,BEX1,UP_resistance
55,BMP4,UP_resistance
56,BMPER,UP_resistance
57,BNC1,UP_resistance
58,BPIFC,UP_resistance
59,C11orf21,UP_resistance
60,C12orf28,UP_resistance
61,C12orf70,UP_resistance
62,C14orf79,UP_resistance
63,C16orf46,UP_resistance
64,C16orf54,UP_resistance
65,C1R,UP_resistance
66,C22orf24,UP_resistance
67,C2CD4C,UP_resistance
68,C2orf73,UP_resistance
69,C2orf81,UP_resistance
70,C4A,UP_resistance
71,C9orf171,UP_resistance
72,C9orf24,UP_resistance
73,C9orf84,UP_resistance
74,CACNA1G,UP_resistance
75,CACNB2,UP_resistance
76,CACNB3,UP_resistance
77,CACNG7,UP_resistance
78,CALHM1,UP_resistance
79,CALML3,UP_resistance
80,CAMK2N1,UP_resistance
81,CAPS,UP_resistance
82,CAPSL,UP_resistance
83,CARD11,UP_resistance
84,CASC1,UP_resistance
85,CBLN2,UP_resistance
86,CCBE1,UP_resistance
87,CCDC104,UP_resistance
88,CCDC147,UP_resistance
89,CCDC74B,UP_resistance
90,CCDC84,UP_resistance
91,CCL2,UP_resistance
92,CCL26,UP_resistance
93,CCL5,UP_resistance
94,CCNA1,UP_resistance
95,CCRL2,UP_resistance
96,CD209,UP_resistance
97,CD248,UP_resistance
98,CD53,UP_resistance
99,CD82,UP_resistance
100,CDH12,UP_resistance
101,CDH13,UP_resistance
102,CDH22,UP_resistance
103,CDH6,UP_resistance
104,CDK15,UP_resistance
105,CDKN1A,UP_resistance
106,CDR2L,UP_resistance
107,CDS1,UP_resistance
108,CDSN,UP_resistance
109,CDYL2,UP_resistance
110,CEL,UP_resistance
111,CENPBD1,UP_resistance
112,CEP112,UP_resistance
113,CETP,UP_resistance
114,CFH,UP_resistance
115,CFHR1,UP_resistance
116,CFHR3,UP_resistance
117,CHAD,UP_resistance
118,CHGB,UP_resistance
119,CHRNA9,UP_resistance
120,CIB1,UP_resistance
121,CILP,UP_resistance
122,CIRBP-AS1,UP_resistance
123,CLDN11,UP_resistance
124,CLDN9,UP_resistance
125,CLEC18B,UP_resistance
126,CLIC2,UP_resistance
127,CMAHP,UP_resistance
128,COL17A1,UP_resistance
129,COL3A1,UP_resistance
130,COL6A3,UP_resistance
131,COLEC10,UP_resistance
132,CPXCR1,UP_resistance
133,CRABP2,UP_resistance
134,CREB3L1,UP_resistance
135,CREG2,UP_resistance
136,CRISPLD2,UP_resistance
137,CSF1R,UP_resistance
138,CSF2,UP_resistance
139,CSMD2,UP_resistance
140,CT62,UP_resistance
141,CTGF,UP_resistance
142,CXCL2,UP_resistance
143,CXCL3,UP_resistance
144,CYP21A1P,UP_resistance
145,CYP2C18,UP_resistance
146,CYP2J2,UP_resistance
147,CYP4V2,UP_resistance
148,DKFZP686I15217,UP_resistance
149,DKK1,UP_resistance
150,DMPK,UP_resistance
151,DNAH7,UP_resistance
152,DNM3OS,UP_resistance
153,DPCD,UP_resistance
154,DPYD,UP_resistance
155,DPYD-AS1,UP_resistance
156,DPYSL5,UP_resistance
157,DSEL,UP_resistance
158,DSTN,UP_resistance
159,EBI3,UP_resistance
160,EBLN1,UP_resistance
161,ECE1,UP_resistance
162,EDN1,UP_resistance
163,EFCAB12,UP_resistance
164,EFEMP1,UP_resistance
165,EGFR,UP_resistance
166,EGFR-AS1,UP_resistance
167,EHD2,UP_resistance
168,EIF4E3,UP_resistance
169,ELANE,UP_resistance
170,ELAVL2,UP_resistance
171,ELFN2,UP_resistance
172,EML1,UP_resistance
173,EMP2,UP_resistance
174,EMR1,UP_resistance
175,EMR2,UP_resistance
176,EPHB2,UP_resistance
177,ESAM,UP_resistance
178,F13A1,UP_resistance
179,F2RL2,UP_resistance
180,F3,UP_resistance
181,FAM101A,UP_resistance
182,FAM154B,UP_resistance
183,FAM155A,UP_resistance
184,FAM167A,UP_resistance
185,FAM177B,UP_resistance
186,FAM183B,UP_resistance
187,FAM18B2,UP_resistance
188,FAM20C,UP_resistance
189,FAM26E,UP_resistance
190,FAM87B,UP_resistance
191,FAM90A7P,UP_resistance
192,FBF1,UP_resistance
193,FCRL1,UP_resistance
194,FERMT1,UP_resistance
195,FGD5,UP_resistance
196,FGF21,UP_resistance
197,FLJ30064,UP_resistance
198,FLJ36777,UP_resistance
199,FLJ39051,UP_resistance
200,FLJ42969,UP_resistance
201,FMNL1,UP_resistance
202,FNDC1,UP_resistance
203,FNDC7,UP_resistance
204,FOXD1,UP_resistance
205,FOXD4,UP_resistance
206,FOXL1,UP_resistance
207,FOXP1-IT1,UP_resistance
208,FRMPD4,UP_resistance
209,FRZB,UP_resistance
210,FSCN2,UP_resistance
211,GAB3,UP_resistance
212,GABBR2,UP_resistance
213,GABRA4,UP_resistance
214,GABRD,UP_resistance
215,GALNT13,UP_resistance
216,GAP43,UP_resistance
217,GATA2,UP_resistance
218,GFRA1,UP_resistance
219,GGT5,UP_resistance
220,GIMAP5,UP_resistance
221,GLIPR1,UP_resistance
222,GLIS1,UP_resistance
223,GLRA2,UP_resistance
224,GLT8D2,UP_resistance
225,GNA15,UP_resistance
226,GNB5,UP_resistance
227,GNG11,UP_resistance
228,GNMT,UP_resistance
229,GPR115,UP_resistance
230,GPR17,UP_resistance
231,GPR22,UP_resistance
232,GPR26,UP_resistance
233,GPR34,UP_resistance
234,GPR68,UP_resistance
235,GPRIN2,UP_resistance
236,GRB7,UP_resistance
237,GRID1,UP_resistance
238,GRIK1-AS2,UP_resistance
239,H2AFY2,UP_resistance
240,HAR1A,UP_resistance
241,HCK,UP_resistance
242,HCST,UP_resistance
243,HDAC7,UP_resistance
244,HEXIM1,UP_resistance
245,HGFAC,UP_resistance
246,HHIPL2,UP_resistance
247,HLA-B,UP_resistance
248,HLA-G,UP_resistance
249,HMCN2,UP_resistance
250,HMOX1,UP_resistance
251,HPCAL1,UP_resistance
252,HRH1,UP_resistance
253,HTR1D,UP_resistance
254,HTRA3,UP_resistance
255,HYAL3,UP_resistance
256,ID1,UP_resistance
257,ID3,UP_resistance
258,IFITM10,UP_resistance
259,IFT20,UP_resistance
260,IFT57,UP_resistance
261,IGJ,UP_resistance
262,IGSF10,UP_resistance
263,IGSF23,UP_resistance
264,IGSF9,UP_resistance
265,IL12RB1,UP_resistance
266,IL17RE,UP_resistance
267,IL1R1,UP_resistance
268,IL23A,UP_resistance
269,IL36G,UP_resistance
270,IL37,UP_resistance
271,IL4,UP_resistance
272,IL7R,UP_resistance
273,IL8,UP_resistance
274,INHBA,UP_resistance
275,INHBB,UP_resistance
276,INPP5J,UP_resistance
277,IQCD,UP_resistance
278,IRAK2,UP_resistance
279,ISLR,UP_resistance
280,ISLR2,UP_resistance
281,ITGA11,UP_resistance
282,ITGA3,UP_resistance
283,JPH2,UP_resistance
284,KCNH3,UP_resistance
285,KCNJ15,UP_resistance
286,KCNU1,UP_resistance
287,KCP,UP_resistance
288,KIAA1244,UP_resistance
289,KIAA1324,UP_resistance
290,KIAA1377,UP_resistance
291,KIAA1644,UP_resistance
292,KIAA1875,UP_resistance
293,KIRREL3,UP_resistance
294,KISS1,UP_resistance
295,KRT16,UP_resistance
296,KRT17,UP_resistance
297,KRT7,UP_resistance
298,KRT80,UP_resistance
299,KRT81,UP_resistance
300,KRT83,UP_resistance
301,KRTAP1-5,UP_resistance
302,KRTAP2-3,UP_resistance
303,LACTB,UP_resistance
304,LGALS9,UP_resistance
305,LGR6,UP_resistance
306,LHFP,UP_resistance
307,LINC00085,UP_resistance
308,LINC00346,UP_resistance
309,LINC00460,UP_resistance
310,LINC00525,UP_resistance
311,LINC00565,UP_resistance
312,LINC00619,UP_resistance
313,LINC00640,UP_resistance
314,LINC00663,UP_resistance
315,LINC00689,UP_resistance
316,LIPH,UP_resistance
317,LMOD1,UP_resistance
318,LOC100128164,UP_resistance
319,LOC100128292,UP_resistance
320,LOC100128979,UP_resistance
321,LOC100130238,UP_resistance
322,LOC100130705,UP_resistance
323,LOC100130938,UP_resistance
324,LOC100130992,UP_resistance
325,LOC100131691,UP_resistance
326,LOC100132356,UP_resistance
327,LOC100134259,UP_resistance
328,LOC100170939,UP_resistance
329,LOC100288336,UP_resistance
330,LOC100288974,UP_resistance
331,LOC100499489,UP_resistance
332,LOC100505504,UP_resistance
333,LOC100505550,UP_resistance
334,LOC100505634,UP_resistance
335,LOC100505636,UP_resistance
336,LOC100505664,UP_resistance
337,LOC100505669,UP_resistance
338,LOC100505822,UP_resistance
339,LOC100506047,UP_resistance
340,LOC100506059,UP_resistance
341,LOC100506219,UP_resistance
342,LOC100506496,UP_resistance
343,LOC100506498,UP_resistance
344,LOC100506620,UP_resistance
345,LOC100506735,UP_resistance
346,LOC100506795,UP_resistance
347,LOC100506801,UP_resistance
348,LOC100506844,UP_resistance
349,LOC100506939,UP_resistance
350,LOC100507127,UP_resistance
351,LOC100507209,UP_resistance
352,LOC100507501,UP_resistance
353,LOC100507534,UP_resistance
354,LOC100507642,UP_resistance
355,LOC100652954,UP_resistance
356,LOC100996324,UP_resistance
357,LOC100996363,UP_resistance
358,LOC100996433,UP_resistance
359,LOC100996485,UP_resistance
360,LOC100996516,UP_resistance
361,LOC143666,UP_resistance
362,LOC282980,UP_resistance
363,LOC283070,UP_resistance
364,LOC283174,UP_resistance
365,LOC283731,UP_resistance
366,LOC283856,UP_resistance
367,LOC284454,UP_resistance
368,LOC284600,UP_resistance
369,LOC285626,UP_resistance
370,LOC400558,UP_resistance
371,LOC439949,UP_resistance
372,LOC439990,UP_resistance
373,LOC440900,UP_resistance
374,LOC441454,UP_resistance
375,LOC642852,UP_resistance
376,LOC645638,UP_resistance
377,LOC650368,UP_resistance
378,LOC654433,UP_resistance
379,LOC728218,UP_resistance
380,LOC729950,UP_resistance
381,LPPR4,UP_resistance
382,LRMP,UP_resistance
383,LRRC18,UP_resistance
384,LRRC70,UP_resistance
385,LRRC73,UP_resistance
386,LSP1,UP_resistance
387,LYPD6B,UP_resistance
388,MAB21L1,UP_resistance
389,MAFG-AS1,UP_resistance
390,MAP1B,UP_resistance
391,MAP3K14,UP_resistance
392,MAP7D1,UP_resistance
393,MAST4,UP_resistance
394,MED12L,UP_resistance
395,MEG3,UP_resistance
396,MFNG,UP_resistance
397,MGC12916,UP_resistance
398,MICALL2,UP_resistance
399,MIOX,UP_resistance
400,MIR137HG,UP_resistance
401,MIR181A2HG,UP_resistance
402,MIR31HG,UP_resistance
403,MIR3605,UP_resistance
404,MIR3911,UP_resistance
405,MIR555,UP_resistance
406,MIR619,UP_resistance
407,MMP13,UP_resistance
408,MMP28,UP_resistance
409,MMP9,UP_resistance
410,MORN4,UP_resistance
411,MOV10L1,UP_resistance
412,MPC1L,UP_resistance
413,MSLN,UP_resistance
414,MT1G,UP_resistance
415,MUSK,UP_resistance
416,MYADML2,UP_resistance
417,MYO7B,UP_resistance
418,MYOZ2,UP_resistance
419,MYPN,UP_resistance
420,NALCN,UP_resistance
421,NAPSA,UP_resistance
422,NECAB2,UP_resistance
423,NGEF,UP_resistance
424,NHS,UP_resistance
425,NHSL2,UP_resistance
426,NLRP1,UP_resistance
427,NMNAT2,UP_resistance
428,NMRK1,UP_resistance
429,NMU,UP_resistance
430,NMUR1,UP_resistance
431,NNMT,UP_resistance
432,NPAS4,UP_resistance
433,NPBWR1,UP_resistance
434,NPHP1,UP_resistance
435,NPPB,UP_resistance
436,NR2E3,UP_resistance
437,NRG1,UP_resistance
438,NSAP11,UP_resistance
439,NUCB2,UP_resistance
440,NXF3,UP_resistance
441,NXNL2,UP_resistance
442,NXPE2,UP_resistance
443,OMD,UP_resistance
444,OR1J1,UP_resistance
445,OR2A9P,UP_resistance
446,P4HA3,UP_resistance
447,PADI4,UP_resistance
448,PAK6,UP_resistance
449,PAPPA2,UP_resistance
450,PARD3B,UP_resistance
451,PARM1,UP_resistance
452,PBX1,UP_resistance
453,PCBP3,UP_resistance
454,PCDHA12,UP_resistance
455,PDCD1LG2,UP_resistance
456,PDE6G,UP_resistance
457,PDE9A,UP_resistance
458,PDGFRB,UP_resistance
459,PDPN,UP_resistance
460,PEX6,UP_resistance
461,PGLYRP1,UP_resistance
462,PGPEP1L,UP_resistance
463,PHGR1,UP_resistance
464,PIANP,UP_resistance
465,PID1,UP_resistance
466,PITX1,UP_resistance
467,PKIA,UP_resistance
468,PLAUR,UP_resistance
469,PLCD3,UP_resistance
470,PLEKHA6,UP_resistance
471,PLGLB2,UP_resistance
472,PLIN1,UP_resistance
473,PLK5,UP_resistance
474,PNOC,UP_resistance
475,POU4F1,UP_resistance
476,PPP1R12A,UP_resistance
