GeneSym,PhosphoLog2FC,n_phosphosites,n_sig_phospho,ProteinLog2FC,ProteinSig
LASP1,2.6755780566306946,1,1,-0.5569726154865116,False
NACC1,2.4434947592505765,1,1,-0.17602831958460285,False
DNM1L,2.4433842856907937,1,1,-0.07639630879926429,False
PDHA1,2.300694836121295,2,2,0.1805829451939509,False
EIF2B5,2.242775188064307,1,1,-0.1226412228248357,False
HARS2,2.1183598638244234,1,1,-0.1763202071730241,False
ZNF384,1.9426093772540085,1,1,-0.038966276568530134,False
WDR70,1.751608106804337,1,1,0.051411530145301754,False
SUZ12,1.71639530184817,2,2,0.04599519713659106,False
SAAL1,1.7137333644026214,1,1,-0.005944511381127171,False
GLYR1,1.7060001691386901,1,1,0.13669461891501555,False
ICAM1,1.682113614966024,1,1,-0.039582116178852544,False
ZBTB40,1.5875954194520894,2,2,-0.007330679478641855,False
ZFAND5,1.5835674012545127,1,1,0.08208752968520372,False
HIST1H1C,1.5652429897120683,2,1,0.20942827949539122,False
INTS10,1.5630248168238055,2,1,-0.22861362510474237,False
ZNF655,1.5602788196224928,1,1,0.03484046476295788,False
TMEM55B,1.5235741384403028,1,1,-0.6418238665335245,False
GNL3L,1.520755479400833,1,1,0.7086134631813827,False
UBR1,1.4721546414578945,1,1,-0.05090162720662761,False
KPNA6,1.4602679603866484,1,1,0.5123896157058105,False
SGK1,1.4533922061419549,3,2,0.07820567220190355,False
MUS81,1.4005228994077434,1,1,0.050616592294097984,False
ACBD3,1.3790692882493403,1,0,-0.02606060568454538,False
MPP6,1.3608609625459138,1,1,0.3522837434807933,False
PTGFRN,1.341540684303265,1,1,0.5356845435157496,False
FAM63A,1.329773480784823,1,1,0.04055647853002142,False
FERMT2,1.3216326093260022,1,1,-0.23307978321036416,False
CDK2,1.3056723753180144,2,2,0.26652756147172596,False
CDK1,1.3056723753180144,2,2,0.5511098722966068,False
PEX19,1.2930948317125643,3,1,0.01807176269642241,False
NAMPT,1.2895315399922183,1,1,-0.23857889525593023,False
NF2,1.2863993006286538,2,1,0.2857174630912134,False
CAP1,1.2804446890940173,3,1,-0.17066307214839327,False
CDV3,1.2639974808805778,2,1,-0.18185390207415608,False
WBP11,1.2628319581565144,2,1,0.07677461632782112,False
DDA1,1.2614542540742946,1,1,0.05564785086052382,False
NUP155,1.2537710857623239,1,1,0.13930853343354954,False
TMSB4X,1.2380024949414654,1,1,0.4000774670816334,False
SNX30,1.2378959630604953,1,1,0.10230103826171799,False
AP3D1,1.2346505331861062,4,1,-0.11771877875591485,False
ZNF516,1.2332542151086408,2,1,0.14585892797796163,False
HEATR5B,1.2227808188422813,1,0,-0.20105344181160234,False
NUP54,1.2198283564888328,1,0,0.1560412983717221,False
CPSF6,1.2102290367761395,2,1,-0.08232066622150569,False
SNN,1.2096727290842146,1,0,0.03298774682478722,False
DDX55,1.2091695125209672,2,1,0.14404008088710896,False
HABP4,1.2055097734668792,1,0,0.08831901180191082,False
CXADR,1.2025439554005608,1,1,0.042599366256467874,False
MAPK3,1.1988749575245734,2,0,0.16064570940029554,False
GTPBP1,1.1948674398784582,5,3,-0.2781536783379579,False
SIRT2,1.1894267618572343,1,1,-0.001210560059917043,False
ESRRA,1.1882113266827705,2,2,0.015325346095856673,False
FLII,1.1689689856478473,1,0,-0.2162899548170394,False
CCDC136,1.1617493360235578,1,0,0.009319210366328434,False
EXOSC2,1.1477493164669177,1,1,0.07165600677134165,False
NTHL1,1.1462478753551686,1,0,-0.11367767596610179,False
RRP9,1.144644822112916,3,3,0.05669464168725469,False
VPS53,1.1435136832120634,1,1,-0.19943129726667053,False
TMEM87A,1.1430364808917624,3,1,0.02716876448535288,False
CLCC1,1.1411254652483365,3,2,0.1600093088796264,False
MYL12A,1.140912494325395,1,1,-0.2418145835509513,False
IVNS1ABP,1.1396056647314232,2,1,0.4303631765687115,False
BEND3,1.1285854339971024,1,0,-0.012247597334003046,False
MFF,1.1275221060757816,7,3,0.1960332346462934,False
SPRY4,1.119495451300832,1,0,-0.28995846947781345,False
ATF1,1.113898819165513,1,1,-0.01968951642948369,False
CTU2,1.111904941845646,2,1,0.1342981085863073,False
HAT1,1.1055763693151022,1,1,0.0920194494057327,False
HNRNPU,1.102980692336582,5,1,0.15877143908282676,False
CLUH,1.0994591404413647,1,1,0.21668245821962984,False
VDAC2,1.0966887006040693,1,0,0.09733461968043855,False
C19orf47,1.0922657104742513,1,1,-0.03930413252835052,False
RPLP2,1.0864094256060497,2,0,-0.007152011575470851,False
MAPK1,1.0650369183312751,2,0,0.38887349361707635,False
KALRN,1.0554672509389473,7,2,0.36407260167933586,False
KIAA0196,1.0503330696466584,1,1,-0.34617797516215276,False
MBIP,1.0499460093291333,1,1,0.048619838892676626,False
DNTTIP1,1.0469779749603987,1,1,0.06973230069089809,False
ETV5,1.0414600882883729,2,0,0.006471316959704154,False
ACTR8,1.0405398094413965,2,1,0.1105542046208754,False
CDCA8,1.0372291413843833,1,0,0.06883874286704028,False
CD3EAP,1.0366630716460428,4,1,0.1164930803745321,False
RAP1A,1.0340513718322697,1,0,0.0728032250739652,False
IL1RAP,1.0306204717508747,4,2,0.4224101303050922,False
ADAM9,1.0249951897919,2,1,-0.14409614097573709,False
SCML4,1.024029259680238,3,1,-0.09669975062154634,False
PRPF6,1.0181891729987598,1,1,0.06668647124208249,False
RPL28,1.0088923365235871,1,1,0.01282151729360237,False
PKNOX1,1.0062866512040145,1,1,-0.04136220635756516,False
ITFG2,1.0036051604775196,1,1,0.0032395414680834733,False
EIF4G2,0.999969605518506,3,1,-0.015117001679282538,False
MCAM,0.9987615947146793,4,1,0.46969566954429354,False
TUBA1A,0.9963635485006215,2,0,-0.723600432644286,False
DZIP3,0.9954998525964562,1,0,0.027017895146371984,False
CYBRD1,0.9953270220950602,3,2,-0.07367032476712154,False
SDE2,0.9907030159758214,1,0,-0.04976434485966763,False
BAD,0.9894510258271634,4,2,0.10426935498527712,False
MRPS36,0.9858062961386871,1,0,-0.010952851554197451,False
MCM4,0.9825630416985172,7,2,0.2677156482607863,False
BET1L,0.9806453230922898,1,0,-0.5328971257082635,False
SLC27A3,0.9806131160098713,3,1,-0.10284541783515522,False
SCFD1,0.9801451727681858,1,0,-0.022728414528334184,False
HIST1H4A,0.9794925601368085,1,0,0.3339608817475934,False
IMPDH2,0.9721660734065871,1,0,0.04047438076484866,False
ERBB3,0.9719736397077128,2,0,-0.01999217215739435,False
SCAND1,0.9711000947915203,1,0,0.0574240129452015,False
NECAP1,0.9675269095702888,1,0,0.05172269031902488,False
ZNF800,0.9664948946754254,7,3,-0.0697930650684242,False
SPTY2D1,0.9656650346772366,1,0,0.30042902404435523,False
ETV3,0.9645400425903062,5,2,0.3980859853420533,False
PPP1CC,0.9635696106762346,1,0,0.3586620246521477,False
BAIAP2L1,0.9596980388177809,9,4,0.29773619903784265,False
