,kinase,BRAFi,MEKi,ERKi
0,PTPN7,-9.197508567594703,-8.348920230307707,-7.522418135330966
1,KSR1,-9.098824857970865,-6.790157328983127,-6.14083650635907
2,DUSP16,-9.095406203882746,-7.744500487925594,-7.311318176424348
3,MAP3K14,-8.98627250885427,-7.7521180067693995,-7.313828777660309
4,DUSP1,-8.251475329868777,-8.145424351037017,-6.912228118819131
5,DUSP8,-8.251475329868777,-8.145424351037017,-6.912228118819131
6,IL2,-8.131997996167069,-7.121092023166939,-6.765773453076
7,MAP3K8,-8.114874569627007,-6.2381293937150195,-4.951953141591921
8,FGF2,-7.980735170613737,-5.888737634173723,-6.789401313300923
9,PRKCQ,-7.739878095600399,-6.348977705208946,-6.039344292989552
10,BRAF,-6.639909641134616,-5.970299456232103,-5.149476894278765
11,RHOA,-6.606506571812488,-5.121292552902921,-6.201028114705062
12,MAP2K1,-6.472214549475461,-6.573947613980801,-5.811997098096973
13,RAF1,-6.513334955326581,-5.2959372806028,-4.46834099404864
14,HGF,-5.622826519016592,-4.263238441564529,-3.7756929500686036
15,EGF,-4.32631869345117,-2.6153390931933367,-4.887043377015108
16,HRAS,-4.852289151493299,-4.313984158646063,-3.8801655457306534
17,MAP2K3,-4.077521342802018,-4.593175685316255,-3.5999542601365975
18,AURKA,-2.2963187511445575,0.8880219893509945,-4.3801865782145075
19,TNF,-3.677754636481457,-4.200488703009423,-3.7485749016496537
20,INS,-2.6859480215538625,-4.027136150861665,-2.463303005510185
21,MAPK1,-3.6944932187974175,-2.5853402073922465,-2.0263533262601
22,DYRK1B,-3.6150880103067764,-2.4227063491530685,-1.7032774213708066
23,PRKCB,-3.5832693443983894,-2.0731413176184206,-3.2864109388295737
24,MAPK3,-3.443731953980467,-2.5353420602381123,-1.9624597254614253
25,PRKCI,1.1482258822539215,1.0055211201602208,-3.311311551230958
26,PRKCG,2.9553242929310817,2.554138851474406,0.7084198828075278
27,AURKB,0.9214876765720716,2.915651567861156,-1.1915345098545842
28,MAPK7,-2.8385094441211716,-1.7021293588267257,-0.9437839738815683
29,PRKCE,2.8333553524736055,2.499485559022061,0.7061763174962292
30,AKT1,-1.5181694400136911,-2.655986223273379,-0.9891169280942105
31,LATS1,2.647272953803921,0.8099326276578254,0.34744933363887437
32,PRKCD,2.6305642793501054,2.3060334220488787,0.9086093403817477
33,NLK,-1.2990758811461607,-0.6715774517095358,-2.5733803076608615
34,MAPK14,-2.325229494788485,-1.994545075098301,-2.085029543636411
35,MAPK15,-2.2509759132108256,,-1.379762912797726
36,PPP2CA,-2.1443068723558136,-1.2571868591506188,-2.2484966798766326
37,CSNK2A1,2.1651433200812513,1.7549925569578324,1.4223201189933752
38,PRKCA,-1.580459910274376,-0.422339568838565,-2.147047476173874
39,AKT3,-1.3660171433876205,-1.9657702143127562,-0.11319607872916726
