,ProteinFoldChange,PValue,AdjPValue,Significant
PIGBOS1,-0.029388872590182302,0.7463857162135934,0.9732623744879622,False
TTC26,-0.4482672184935588,0.15587551444604822,0.7468793264782728,False
UBA6,0.01969951525736846,0.9048431676589359,0.9906253158153695,False
ESYT2,-0.29129551648789587,0.011122359164956153,0.288830327710679,False
MED19,0.07248262298473307,0.3009156712033078,0.8542034037693326,False
KIAA1598,0.11480129346936607,0.5774088712216578,0.9426811085231039,False
ARHGAP10,-0.035882535256881454,0.7513813396487045,0.9737735160683184,False
ILVBL,0.06960544266964774,0.5763309100695098,0.9426811085231039,False
SH3PXD2B,-0.09930036018203126,0.6558628405917983,0.9558209137948426,False
FAM92A1,-0.0009970054227750325,0.990472350818363,0.9976036277220482,False
ANKRD18B,0.4814081118810485,0.1893904970851771,0.771321598050201,False
NBAS,-0.19732532875459796,0.009760907649832772,0.2742857673653882,False
KIAA1467,-0.24188143378108862,0.22015203630481123,0.8005271889425227,False
VWA8,0.13418919540385943,0.7369961195807966,0.9732623744879622,False
SBNO1,0.12011010196853888,0.4029791377716774,0.8770879497439329,False
GSAP,0.11997933281054074,0.2703860044996879,0.8386146206467584,False
GTPBP10,0.10295852936912553,0.21282134864649846,0.7958870791430258,False
WDR91,0.09330228825096398,0.6746032750187644,0.9558209137948426,False
LCHN,-0.5758254183005143,0.07150568669813379,0.593521348757803,False
VPS37C,-0.01725913724867567,0.8742343799639702,0.9864997068182194,False
CCDC151,0.0324215277094666,0.6753273082121741,0.9558209137948426,False
TMEM189,-0.07759119284352778,0.30595053988028464,0.856811285772871,False
TRAPPC13,0.03153761205931005,0.6852017824542709,0.9576425556985229,False
CNOT1,-0.19164912831769243,0.004593624936596527,0.24429732617354258,False
CCDC88B,0.1923848951688143,0.34583472783699576,0.8676073108938235,False
MAP1LC3B,-0.5631006883960978,0.07578807721311615,0.5962057174405897,False
PGP,0.04081148114334354,0.7305888355666883,0.972556714288713,False
C5orf51,0.01834758307615658,0.8282274749539563,0.9796746903350853,False
ZNF316,-0.024664637720327676,0.7930190736063428,0.9757676912534892,False
SDHAF1,0.40370404541316063,0.03404738281750249,0.4329938901791078,False
FBLL1,0.859983173910738,0.1912010358150986,0.7718731895271739,False
SMCHD1,0.13512814897129033,0.19291215200265457,0.7734515253190544,False
ARHGAP42,0.006655334086097753,0.9421841075890847,0.9929705792864855,False
UNC119B,-0.04170391907664239,0.5866689381278675,0.946440071448739,False
METTL15,-0.19250954138560772,0.30266715931522087,0.8549882222095901,False
RGPD3,0.21780735283925878,0.3347055991367708,0.8671397439011865,False
POM121C,-0.0025671086616654293,0.9887228999824061,0.9973108179068919,False
YDJC,0.0324215277094666,0.6753273082121741,0.9558209137948426,False
PHF20L1,0.12877109973618772,0.258559731430637,0.8296686601105563,False
SNRPG,-0.5763112271508604,0.3074786056752093,0.858327802648197,False
NUDT19,-0.049147762145310026,0.8806915065292087,0.9873158439777973,False
HACD1,-0.11742408210375999,0.3937031539264517,0.8764319149979993,False
SMIM1,0.026507568441687113,0.7318178772789296,0.9729851322913041,False
RABGAP1L,-0.1303835155443096,0.39300717694386295,0.8764319149979993,False
GPR89B,-0.10664427595066783,0.6795857022533951,0.9568123106951699,False
WASH3P,0.1482442054147235,0.4586307303605415,0.9000575632418679,False
RASA4,-0.28480207001552316,0.13111279212749,0.6955571453754312,False
FAM195B,0.08072139114757348,0.852018821234877,0.9844804580394803,False
INAFM1,0.007164431959154172,0.9306789902379714,0.9929705792864855,False
NACA,0.04938489091583165,0.4746063348436872,0.9106367586519569,False
C11orf98,0.17233361670362157,0.17954418737529987,0.7632902418660206,False
DNASE2,0.04792794707322301,0.8909311420961135,0.9895993288981546,False
AGPS,0.24444594532338826,0.007387259577079533,0.2495805951257824,False
UBXN8,0.03193468703118896,0.6796102591045524,0.9568123106951699,False
KIF2A,0.08556371023415821,0.5087941477084721,0.9247690556585174,False
SGK1,0.07820567220190355,0.346109863381255,0.8676073108938235,False
DDX39A,0.1246105523985257,0.38778786940517546,0.8724463008932468,False
ACOT7,-0.04971070443364667,0.7032151174457292,0.9642064433183422,False
MYO1C,-0.20339763658180487,0.03397326729443178,0.4329938901791078,False
SNAP23,0.003975576070647691,0.9689299583996825,0.9961388673740844,False
HAX1,-0.05444046587331286,0.6895691342502588,0.9590182362006517,False
AIP,-0.1502922215750928,0.1826389843169383,0.7644955993710568,False
GTPBP1,-0.2781536783379579,0.0256682256010797,0.4014985792261078,False
STXBP3,-0.14329857268678126,0.05518675258303325,0.5351693511082973,False
SMAP,0.0021174433462647357,0.98387964422966,0.9972240854967319,False
AP3B1,-0.14460187379380685,0.0840013849703238,0.611301509390781,False
APBB1,0.18926935177421456,0.11997535993477164,0.6833260061341345,False
LGALS8,-0.03610351776479348,0.7451393606062434,0.9732623744879622,False
NDUFS8,0.1995029196620095,0.33521983586213366,0.8676073108938235,False
NFKBIE,0.30271153748691404,0.26077576833358984,0.8307746793345019,False
PSMD11,0.03920192538294032,0.7643847317395516,0.9747728847731245,False
PSMD12,-0.0949533850045512,0.1560253036619787,0.7470407954351436,False
PSMD9,-0.13205151032971685,0.18634487728396792,0.7668014469769195,False
ATOX1,0.3355465925020731,0.019518697841558522,0.3673232706837742,False
MEN1,0.026393900319344965,0.7531850304401269,0.9737735160683184,False
CBX4,0.25310209915680915,0.2827122499613116,0.8457356496499373,False
WRB,0.032786593981683154,0.6712458297312545,0.9558209137948426,False
PGRMC1,0.07145120028985374,0.8058585908832854,0.978017374036115,False
SUPT5H,0.03802577548912467,0.6480878768899923,0.9558209137948426,False
TAF4,-0.07139983908057346,0.5819980091013388,0.9449459854812928,False
DFFA,0.3312688256419385,0.18514651248004843,0.7658229735284879,False
RFXAP,0.10827443226890665,0.3691159633074528,0.8699981161492333,False
HIP1,-0.1369162486008939,0.09502410236663104,0.6356113023764716,False
CLIC1,-0.2947630809200774,0.054033342284984825,0.5276245183670369,False
EIF3F,0.028757801254730708,0.8761853672380999,0.9864997068182194,False
CDC7,0.019458935163157776,0.8166571505645229,0.9796427422937294,False
PIK3CD,-0.014124177243093783,0.8616861346026671,0.9853852578924835,False
PDHX,0.18232650491378521,0.031923119466608654,0.4310127454299641,False
DCTN6,-0.07025294084170497,0.7555350010685962,0.9737735160683184,False
SLC33A1,-0.07183934569221861,0.6784227477685336,0.9568123106951699,False
WASL,-0.011020333014688077,0.8963516459647044,0.9896259744685637,False
IPO5,-0.05105997032184817,0.5984749126181063,0.9479632391439603,False
POLRMT,0.21398892799463098,0.16098179685958464,0.7512461355597192,False
EEF2K,0.04703647170860492,0.5149044563454345,0.9263098061456166,False
SAP18,0.16528911305238836,0.4281341894844072,0.8800723730691165,False
EML1,0.0369459429090071,0.6247452119874668,0.9556087593733652,False
IGF2BP3,0.005769992622020936,0.9630413487124522,0.9943137920657577,False
DNM1L,-0.07639630879926429,0.3440378859215092,0.8676073108938235,False
RTCA,-0.30539207074910024,0.1012848697362619,0.6500968265353259,False
PIK3C2A,0.02842404583909186,0.8316076938836757,0.980288607829539,False
SYT5,0.20045299866017885,0.1902876174199357,0.771775968753144,False
IFRD1,-0.03376228673343462,0.9138190370536191,0.9929705792864855,False
PIK3R2,-0.045033935846181095,0.6871568318234543,0.9577677155653451,False
GOLIM4,0.04596115913564347,0.7282962374368357,0.9719591947634878,False
MANBA,0.12250736963797948,0.6090090426136299,0.9516690600336835,False
AGRN,0.2624765217107736,0.3719463831545298,0.8701811028798047,False
PLOD2,-0.5984685183583416,0.02827979683379808,0.4152677321328016,False
EXOC5,-0.5072785039325787,0.00797761922415894,0.25614057963278447,False
HMGN4,0.15919663000572015,0.2869721388943453,0.8478070461855779,False
NDUFA4,-0.12053821743514348,0.8089430661655831,0.9781188708710122,False
PSMD14,0.0756773711095704,0.5081402555100613,0.9247690556585174,False
ZNF593,0.38248368584440584,0.11962512870749584,0.6833260061341345,False
BIN1,-0.013282305323986776,0.8896093304524474,0.9895654349976661,False
KPNA3,0.0337973853303879,0.7342389154377471,0.9732405574099902,False
BCL9,0.07817460601169657,0.2858162016211452,0.8471797592962088,False
KRIT1,-0.021253792565094187,0.8011043723270813,0.9768683851080251,False
PES1,0.13149429712317584,0.1498385137488233,0.7368142988107953,False
EBAG9,0.004165606013238232,0.9599477960951496,0.9943137920657577,False
SDCBP,0.21960663678969183,0.4605698420575019,0.900531604432244,False
PITPNM1,0.049498317978716955,0.5163855982692926,0.9265888182165767,False
MPHOSPH10,0.1074422818107692,0.15508785182335988,0.7444754364710432,False
NOP56,0.17773108788410497,0.014993419749654364,0.3237673023121672,False
DDX3X,-0.0011609809393888781,0.9857397226811311,0.9972240854967319,False
RNASET2,0.19612215918718334,0.1510693695499266,0.7377854205205973,False
PEX12,0.08654543842494888,0.31433332146213017,0.8602661132433345,False
PIR,0.4175618308943534,0.10425740378935079,0.6519097566118913,False
KPNA4,-0.14643843463393935,0.16204604887261856,0.7517808855755417,False
TRIM38,0.08914816370048229,0.327155404796232,0.8643320035562339,False
NFIB,0.0324215277094666,0.6753273082121741,0.9558209137948426,False
PPP6C,0.4190281956948745,0.17171821736292084,0.7613501152595638,False
NME4,0.023315090299718122,0.9536598215168269,0.9941741692960507,False
MAN2B1,-0.19194040960453762,0.2947202909495573,0.8493170946083303,False
UBE2C,0.38821572033845086,0.32057357504613454,0.8637329012289565,False
ACACB,0.0324215277094666,0.6753273082121741,0.9558209137948426,False
PDXK,-0.19830189418235022,0.12015920944403685,0.6833260061341345,False
SCD,0.48033511815269847,0.0004387256742781631,0.12702972211189337,False
ARID1A,0.10912367695796377,0.0531089903039511,0.524166184978413,False
CDK2AP1,0.028154548553185776,0.7130437216742487,0.9661863599652067,False
SDHD,-0.03435420225880037,0.7058852933043586,0.9645093452622473,False
C2CD2L,-0.31982115678945533,0.19445529820734037,0.7743704887069277,False
TXNDC9,-0.2300575004976828,0.527431548491403,0.928947555129878,False
DPYSL4,-0.0015374288146468018,0.9848135809621331,0.9972240854967319,False
TRAFD1,0.0548167939021198,0.4374010731928479,0.8865120963766854,False
COX7A2L,0.6264207947108389,0.07275243573447053,0.5936817089710029,False
GAPDHS,0.5402288009562355,0.0026459031198962633,0.21188217009413088,False
NDUFAB1,0.16993357606031623,0.27149670022607003,0.8386146206467584,False
UBFD1,-0.10473250964334113,0.40819772027275797,0.8770879497439329,False
CYB561D2,-0.06630067020183716,0.49286926298575334,0.9192936166434658,False
DYNC1I1,0.05932643299015794,0.44688743579383605,0.8937143094373057,False
CIT,0.9235140443619905,0.0010424613539896342,0.17193970555416557,False
COPE,-0.131755941295431,0.07805039031340068,0.6026116467688927,False
RFXANK,0.015238777083617094,0.8599631955010487,0.9853852578924835,False
AP3D1,-0.11771877875591485,0.14713919936865694,0.7318327269484091,False
CCS,-0.10258396375855838,0.38358585176946935,0.8718690155859481,False
DVL2,-0.059541194764062055,0.8021567953226505,0.9770734389364483,False
CHD1,0.17058238772635903,0.20499351488410666,0.7870723557751947,False
CHD2,-0.07586625264509905,0.541852192312313,0.9347557814904268,False
GOSR2,-0.02619867747036153,0.9276006716162257,0.9929705792864855,False
TOR1A,0.1724318471467754,0.5078152047347887,0.9247690556585174,False
TOR1B,-0.004425050632594463,0.9557950876303157,0.9943137920657577,False
STX16,0.14082893561863585,0.5767297849734543,0.9426811085231039,False
ADAM10,-0.39475263497456226,0.04293950866171972,0.47971482333015003,False
EI24,0.05387552162548204,0.44630409328679194,0.8937143094373057,False
KMT2D,0.011030556120694257,0.8848633959577363,0.988414301604248,False
ITGB1BP1,-0.2902730401380431,0.015341372246260988,0.3269493265658943,False
APAF1,0.07632830675946067,0.19083782357303503,0.7718731895271739,False
ACOT8,-0.15605898042224453,0.48564052541464825,0.9145732458423359,False
CDIPT,-0.746608172111852,0.015383550276031109,0.3269493265658943,False
PDCD5,0.15187110561065253,0.3059591790219412,0.856811285772871,False
PRMT5,-0.03410667502562248,0.7026398654323501,0.9638643219051743,False
SLC9A3R1,0.0466582098732502,0.6138172501323725,0.9524750433088539,False
TNFRSF10B,-0.2669926440382717,0.6545866460394842,0.9558209137948426,False
TPP1,0.09993949504778854,0.8143048272153649,0.9796427422937294,False
TCERG1,0.13795476880664737,0.10531216993367218,0.6554002065021087,False
NDC80,0.04182042672285036,0.585171247631636,0.9456496681339973,False
KIF3C,-0.0656531606052333,0.7813794069976719,0.9757676912534892,False
TNPO2,0.07229817592211418,0.5186593509271342,0.9265888182165767,False
POLR3A,-0.06369346767091244,0.5923811972220278,0.947780458509137,False
MRAS,0.07469624993801105,0.37981553257910244,0.8718690155859481,False
TSPAN4,0.05788521617939324,0.5043531486152009,0.9246588791949638,False
PSMA7,0.07568872788494119,0.6229986056061559,0.9551553129784979,False
SCAMP3,-0.10576174149787221,0.32120500651717326,0.8637501951266234,False
PHYH,-0.031538380985246306,0.685739146502851,0.9576425556985229,False
BACH1,-0.1136536378117512,0.6306378826301117,0.9558209137948426,False
BCKDK,0.05921117342389337,0.792871223798161,0.9757676912534892,False
IFIT3,1.4858621618100187,0.001277027700738763,0.1826149612056431,False
MGST3,0.1228998233680656,0.3269184729051001,0.8643320035562339,False
GEMIN2,-0.006483573379838958,0.9446352776170589,0.9929705792864855,False
TAX1BP3,0.07527923504580514,0.3954572120218294,0.8764319149979993,False
GIPC1,0.1959554887071846,0.07597768361686819,0.5962238409289047,False
IKBKB,0.04100874055890458,0.5893211663873328,0.947780458509137,False
TIMM23,0.14403619221394948,0.2063254558193148,0.7879967471773515,False
HAT1,0.0920194494057327,0.35338224881810354,0.8676073108938235,False
UBE2L6,0.02491766648568472,0.8198241243405253,0.9796427422937294,False
CASK,0.16222990544809335,0.3586831597679851,0.8676073108938235,False
MYL12A,-0.2418145835509513,0.019038952879804807,0.36362957920765027,False
HGS,0.06578163387146674,0.4383095983952437,0.8877942290441905,False
AURKA,0.26801351539404195,0.25735445868185347,0.8291488368233156,False
RAB29,0.12889916079467056,0.36232369234911777,0.8676073108938235,False
DSCR3,-0.19131967854213272,0.18389841852202257,0.7644955993710568,False
PPP1R12A,0.021599921827753832,0.7801106987272989,0.9757676912534892,False
HNRNPDL,0.2613504198564556,0.007628565774713964,0.25304031319734205,False
XPO1,0.01099716310901755,0.869561343708585,0.9860136117647127,False
BTAF1,-0.47890434704243035,0.08657740604425698,0.611301509390781,False
ARHGEF10,-0.1145986730467854,0.293956174566633,0.8490161505100015,False
ZNF609,-0.34941361822261285,0.10366689918630678,0.6505255545260021,False
SPTBN2,0.3776275832429761,0.23170174791621848,0.8149286156262824,False
SEC16A,-0.5230513118484268,0.050045041689330744,0.5103642524102113,False
PLXNB2,-0.35607573709676643,0.08794969583197335,0.6151698833464657,False
U2SURP,0.19616118766873925,0.02191512912323851,0.38037019194545985,False
