,cell_line,pathway,day,delta_log2_vs_DMSO,n_genes
0,M229,MAPK output (ERK targets),0,0.0,10
1,M229,MAPK output (ERK targets),3,-2.8559165807165066,10
2,M229,MAPK output (ERK targets),21,-2.0469751478917386,10
3,M229,MAPK output (ERK targets),60,0.7506831071698069,10
4,M229,MAPK output (ERK targets),90,-2.404728306072239,10
5,M229,PI3K / AKT / mTOR,0,0.0,10
6,M229,PI3K / AKT / mTOR,3,0.16980074729378783,10
7,M229,PI3K / AKT / mTOR,21,0.40400049830893714,10
8,M229,PI3K / AKT / mTOR,60,-0.25987074763522,10
9,M229,PI3K / AKT / mTOR,90,-0.860202791873568,10
10,M229,"RTK (AXL, PDGFR, EGFR, MET)",0,0.0,8
11,M229,"RTK (AXL, PDGFR, EGFR, MET)",3,0.3243132092148392,8
12,M229,"RTK (AXL, PDGFR, EGFR, MET)",21,0.8043941130814118,8
13,M229,"RTK (AXL, PDGFR, EGFR, MET)",60,0.5555735964373558,8
14,M229,"RTK (AXL, PDGFR, EGFR, MET)",90,0.6547221779517391,8
15,M229,EMT / invasion,0,0.0,8
16,M229,EMT / invasion,3,0.41634819704756276,8
17,M229,EMT / invasion,21,0.9870101842593665,8
18,M229,EMT / invasion,60,0.275645180844797,8
19,M229,EMT / invasion,90,0.2997354495774194,8
20,M397,MAPK output (ERK targets),0,0.0,10
21,M397,MAPK output (ERK targets),3,-1.8760259482746364,10
22,M397,MAPK output (ERK targets),11,-1.4884574762015057,10
23,M397,MAPK output (ERK targets),21,-0.7699799680151516,10
24,M397,MAPK output (ERK targets),73,-0.5063258802441591,10
25,M397,PI3K / AKT / mTOR,0,0.0,10
26,M397,PI3K / AKT / mTOR,3,0.5713745083755117,10
27,M397,PI3K / AKT / mTOR,11,0.5368265404081841,10
28,M397,PI3K / AKT / mTOR,21,0.3994812781798488,10
29,M397,PI3K / AKT / mTOR,73,0.31661611107800824,10
30,M397,"RTK (AXL, PDGFR, EGFR, MET)",0,0.0,8
31,M397,"RTK (AXL, PDGFR, EGFR, MET)",3,0.3794394590895097,8
32,M397,"RTK (AXL, PDGFR, EGFR, MET)",11,1.0546120494757614,8
33,M397,"RTK (AXL, PDGFR, EGFR, MET)",21,1.3676538199970845,8
34,M397,"RTK (AXL, PDGFR, EGFR, MET)",73,2.647166424144338,8
35,M397,EMT / invasion,0,0.0,8
36,M397,EMT / invasion,3,0.8226446677572995,8
37,M397,EMT / invasion,11,0.6966394277615007,8
38,M397,EMT / invasion,21,0.7711544573000357,8
39,M397,EMT / invasion,73,1.198646791853954,8
